,,,,,,,,,,,,,,,,,,,,,
102-29156-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,3039337.00,169.60,169.60,3 B/R,,,,,1,1,,Haven By Aldar 2
102-29157-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,950000.00,73.61,73.61,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Phantom
102-29159-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,950000.00,73.47,73.47,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Phantom
102-2916-2024,16/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,ARJAN,Unit,Flat,855000.00,74.68,74.68,1 B/R,1,Sharaf Dg Metro Station,Mall of the Emirates,Motor City,1,1,,LEGACY BY SUNRISE
102-29160-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,JUMEIRAH VILLAGE CIRCLE,Unit,Flat,1500000.00,84.84,84.84,1 B/R,1,Dubai Internet City,Mall of the Emirates,Sports City Swimming Academy,1,1,,Binghatti Phantom
102-29161-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Al Hebiah Sixth,Building,Villa,2370000.00,170.54,170.54,3 B/R,,,,,1,1,,Mudon Al Ranim 4
102-29162-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,2772922.00,168.00,168.00,3 B/R,,,,,2,1,,Haven By Aldar 3
102-29163-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Madinat Dubai Almelaheyah,Unit,Flat,2506888.00,107.60,107.60,2 B/R,1,,,,1,1,,Ocean Point
102-29164-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Madinat Dubai Almelaheyah,Unit,Flat,2506888.00,107.65,107.65,2 B/R,1,,,,1,1,,Ocean Point
102-29165-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Wadi Al Safa 5,Building,Villa,2914172.00,185.20,185.20,3 B/R,,,,,2,1,,Haven By Aldar 3
102-29166-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BURJ KHALIFA,Unit,Flat,5238000.00,181.92,181.92,3 B/R,2,Business Bay Metro Station,Dubai Mall,Downtown Dubai,1,1,,Imperial Avenue
102-29167-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,1459723.00,57.10,57.10,1 B/R,1,,,,1,1,,SOBHA ONE
102-29168-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,1983975.00,87.77,87.77,2 B/R,1,,,,1,1,,SOBHA ONE
102-2917-2024,16/01/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,DUBAI HEALTHCARE CITY - PHASE 2,Unit,Flat,1105500.00,70.34,70.33,2 B/R,P1-73,Al Jadaf Metro Station,Dubai Mall,Downtown Dubai,1,1,,Fawad Azizi Residence
102-29170-2024,06/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,Ras Al Khor Industrial First,Unit,Flat,1268580.00,51.13,51.13,1 B/R,1,,,,1,1,,SOBHA ONE
102-29172-2024,08/05/2024,Sales,Sell - Pre registration,Off-Plan,Free Hold,Residential,BURJ KHALIFA,Unit,Flat,5432000.00,188.07,188.07,3 B/R,2,Business Bay Metro Station,Dubai Mall,Downtown Dubai,2,1,,Imperial Avenue
